Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Years_Established
FDA15,9.3,Low Fat,-4.132214605540695,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,22
DRC01,5.92,Regular Fat,-3.9487795252013376,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,12
FDN15,17.5,Low Fat,-4.088755708997878,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,22
FDX07,19.2,Regular Fat,-4.181624629851282,Fruits and Vegetables,182.095,OUT010,Medium,Tier 3,Grocery Store,732.38,23
NCD19,8.93,Low Fat,-4.8180969815473595,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,34
FDP36,10.395,Regular Fat,-2.7980589274769683,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,12
FDO10,13.65,Regular Fat,-4.362923153684317,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,34
FDP10,12.987879554655873,Low Fat,-2.0598753580205247,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,36
FDH17,16.2,Regular Fat,-4.093118474175339,Frozen Foods,96.9726,OUT045,Medium,Tier 2,Supermarket Type1,1076.5986,19
FDU28,19.2,Regular Fat,-2.3596890259651624,Frozen Foods,187.8214,OUT017,Medium,Tier 2,Supermarket Type1,4710.535,14
FDY07,11.8,Low Fat,-2.952019685969042,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,22
FDA03,18.5,Regular Fat,-3.0908394679612456,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,24
FDX32,15.1,Regular Fat,-2.3024501021057255,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,22
FDS46,17.6,Regular Fat,-3.052147547120498,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,24
FDF32,16.35,Low Fat,-2.6878902847002086,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.4260000000002,34
FDP49,9.0,Regular Fat,-2.6723603149502786,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,24
NCB42,11.8,Low Fat,-4.756452367227384,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,12
FDP49,9.0,Regular Fat,-2.6708067876720634,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,22
DRI11,11.400327868852457,Low Fat,-3.3744284285983803,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.6679999999997,36
FDU02,13.35,Low Fat,-2.2779693614077234,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,17
FDN22,18.85,Regular Fat,-1.9791237246821762,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,34
FDW12,12.277108208955223,Regular Fat,-3.341045633986017,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,36
NCB30,14.6,Low Fat,-3.6613368967208704,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,17
FDC37,12.277108208955223,Low Fat,-2.854979552596853,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,36
FDR28,13.85,Regular Fat,-3.653648033772376,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,24
NCD06,13.0,Low Fat,-2.303714700760734,Household,45.906000000000006,OUT017,Medium,Tier 2,Supermarket Type1,838.908,14
FDV10,7.645,Regular Fat,-2.7076487267038423,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,17
DRJ59,11.65,Low Fat,-3.944746010483494,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,34
FDE51,5.925,Regular Fat,-1.8234573776066596,Dairy,45.5086,OUT010,Medium,Tier 3,Grocery Store,178.4344,23
FDC14,12.305705009276437,Regular Fat,-2.6280133257533738,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,36
FDV38,19.25,Low Fat,-1.7699086409283615,Dairy,55.7956,OUT010,Medium,Tier 3,Grocery Store,163.7868,23
NCS17,18.6,Low Fat,-2.5154148646591183,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,12
FDP33,18.7,Low Fat,-2.4584758979055916,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,12
FDO23,17.85,Low Fat,-1.9568919701216456,Breads,93.1436,OUT045,Medium,Tier 2,Supermarket Type1,2174.5028,19
DRH01,17.5,Low Fat,-2.3237675760534655,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,24
NCX29,10.0,Low Fat,-2.415853045745308,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,22
FDV20,13.224769381746812,Regular Fat,-2.8215804651248373,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,36
DRZ11,8.85,Regular Fat,-2.1792716626452857,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,12
FDX10,12.987879554655873,Regular Fat,-2.094665211939171,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,36
FDB34,12.987879554655873,Low Fat,-3.631329521371961,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,36
FDU02,13.35,Low Fat,-2.277780252555113,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,24
FDK43,9.8,Low Fat,-3.6186659412462197,Meat,126.00200000000001,OUT013,High,Tier 3,Supermarket Type1,2150.534,34
FDA46,13.6,Low Fat,-2.1386112643754553,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,22
FDC02,21.35,Low Fat,-2.6721595794384827,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,12
FDL50,12.15,Regular Fat,-3.163491568637765,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,34
FDM39,6.42,Low Fat,-2.413528653773328,Dairy,178.1002,OUT010,Medium,Tier 3,Grocery Store,358.2004,23
NCP05,19.6,Low Fat,-3.8584076915157786,Health and Hygiene,153.3024,OUT045,Medium,Tier 2,Supermarket Type1,2428.8384,19
FDV49,10.0,Low Fat,-3.6543011541507098,Canned,265.2226,OUT045,Medium,Tier 2,Supermarket Type1,5815.0972,19
FDL12,15.85,Regular Fat,-2.1067492584764773,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,24
FDS02,13.42606890459364,Regular Fat,-1.3649443199216804,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176,36
NCL17,7.39,Low Fat,-2.691492361853274,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864,24
FDM40,10.195,Low Fat,-1.833808134551401,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924,34
FDR13,9.895,Regular Fat,-3.550965060885366,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444,34
FDA43,10.895,Low Fat,-2.732728505919938,Fruits and Vegetables,196.3794,OUT017,Medium,Tier 2,Supermarket Type1,3121.2704,14
NCP18,12.15,Low Fat,-3.5487692941127036,Household,151.4708,OUT017,Medium,Tier 2,Supermarket Type1,4815.0656,14
FDK21,7.905,Low Fat,-4.599873736970009,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,6258.52,12
NCX54,9.195,Low Fat,-3.033281753595619,Household,106.1622,OUT045,Medium,Tier 2,Supermarket Type1,2117.244,19
DRK35,8.365,Low Fat,-2.631669925800138,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626,22
FDY21,15.1,Low Fat,-1.7516854433265976,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,4910.275,24
FDI26,12.305705009276437,Low Fat,-2.7955351574855882,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,892.172,36
FDM20,10.0,Low Fat,-3.7615014686958177,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,3185.1872,12
FDV27,7.97,Regular Fat,-3.2170991291272277,Meat,87.3514,OUT045,Medium,Tier 2,Supermarket Type1,1062.6168,19
FDF09,13.224769381746812,Low Fat,-4.415370493613208,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,484.7024,36
FDY40,12.867061281337046,Regular Fat,-1.8952152001407176,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,147.8076,36
FDY45,12.987879554655873,Low Fat,-3.64906203441004,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,2543.356,36
FDC46,17.7,Low Fat,-1.634405904687971,Snack Foods,185.4266,OUT010,Medium,Tier 3,Grocery Store,184.4266,23
FDH19,19.35,Low Fat,-3.4087594521807474,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,4865.6664,17
FDZ03,13.65,Regular Fat,-2.538985441125209,Dairy,186.024,OUT045,Medium,Tier 2,Supermarket Type1,1118.5439999999999,19
DRH37,17.6,Low Fat,-3.177236020845316,Soft Drinks,164.8526,OUT045,Medium,Tier 2,Supermarket Type1,2302.3364,19
NCI17,8.645,Low Fat,-1.941959462305374,Health and Hygiene,95.84100000000001,OUT046,Small,Tier 1,Supermarket Type1,2027.361,24
FDJ58,15.6,Regular Fat,-2.250979163481949,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,3435.528,24
FDL12,15.85,Regular Fat,-2.1075817823158296,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,599.22,34
FDH35,18.25,Low Fat,-2.864905902871379,Starchy Foods,164.7526,OUT045,Medium,Tier 2,Supermarket Type1,4604.6728,19
FDG02,7.855,Low Fat,-4.480754793117746,Canned,189.6188,OUT017,Medium,Tier 2,Supermarket Type1,2285.0256,14
NCZ18,7.825,Low Fat,-1.6800902958638873,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356,22
FDC29,8.39,Regular Fat,-3.721168747555993,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,2290.3520000000003,24
FDQ10,12.85,Low Fat,-3.4042776407931465,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954,22
FDN48,12.277108208955223,Low Fat,-2.174012967230294,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,643.1628,36
FDL04,19.0,Low Fat,-2.184299898995825,Frozen Foods,104.9622,OUT017,Medium,Tier 2,Supermarket Type1,1587.933,14
FDV25,5.905,Low Fat,-3.1368034798412174,Canned,222.5456,OUT045,Medium,Tier 2,Supermarket Type1,5305.0944,19
FDD58,7.76,Low Fat,-2.8242653995828704,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,1697.79,24
FDN04,11.8,Regular Fat,-4.262498846428346,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,1427.4752,24
